City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
89,caravelas,0,BR,1552581850,100,-17.73,-39.27,83.44,17.81
90,kalmunai,0,LK,1552581851,96,7.42,81.82,71.43,2.71
91,hermanus,0,ZA,1552581097,72,-34.42,19.24,80.01,11.01
92,turukhansk,64,RU,1552581851,93,65.8,87.96,19.32,10.65
93,bilibino,68,RU,1552581851,32,68.06,166.44,-23.08,2.15
94,saskylakh,0,RU,1552581852,30,71.97,114.09,-21.01,10.42
95,cahul,64,MD,1552581562,59,45.91,28.19,39.97,7.85
96,acajutla,56,SV,1552581852,57,13.59,-89.83,86.86,5.95
97,berezovka,92,RU,1552581852,85,57.6,57.31,24.27,12.44
98,constitucion,20,MX,1552578120,33,23.99,-104.67,57.2,9.17
99,oussouye,0,SN,1552579200,17,12.49,-16.54,102.2,6.93
100,waddan,0,LY,1552581853,21,29.16,16.14,64.95,9.31
101,cape town,0,ZA,1552581665,54,-33.93,18.42,80.01,14.99
102,geraldton,90,CA,1552579260,93,49.72,-86.95,35.6,6.93
103,kruisfontein,0,ZA,1552581914,86,-34,24.73,66.16,7.29
104,georgetown,75,GY,1552579200,66,6.8,-58.16,89.6,13.87
105,hithadhoo,0,MV,1552581757,100,-0.6,73.08,83.89,1.7
106,sistranda,40,NO,1552581870,98,63.73,8.83,39.99,8.05
107,gejiu,56,CN,1552581727,93,23.36,103.16,49.74,2.37
108,sinegorye,20,RU,1552581916,35,62.09,150.53,-26.05,1.59
109,ust-kan,0,RU,1552581916,56,50.93,84.77,8.25,1.92
110,isangel,12,VU,1552581917,100,-19.55,169.27,80.74,5.17
111,ucluelet,90,CA,1552581735,100,48.94,-125.55,42.01,11.41
112,swellendam,56,ZA,1552579200,69,-34.02,20.44,73.4,12.75
113,rio gallegos,40,AR,1552579200,72,-51.62,-69.22,59,4.7
114,fukue,20,JP,1552581845,70,35.03,136.69,44.6,9.17
115,marsh harbour,0,BS,1552581918,100,26.54,-77.06,74.22,16.8
116,port-gentil,75,GA,1552579200,78,-0.72,8.78,82.4,3.36
117,batsfjord,12,NO,1552580400,85,70.63,29.72,24.8,26.4
118,omboue,36,GA,1552581919,100,-1.57,9.26,80.07,1.59
119,kutum,0,SD,1552581919,18,14.2,24.66,71.43,10.2
120,sokoni,8,CD,1552581920,88,-12.89,28.78,68.77,2.37
121,east london,75,ZA,1552579200,93,-33.02,27.91,66.2,3.36
122,lompoc,1,US,1552581917,81,34.64,-120.46,62.01,6.93
